"order_id","email","first_name","last_name","address","city","province","postal","phone1","web","status","date"
"AB102","lourdes_bauswell@aol.com","Lourdes","Bauswell","9547 Belmont Rd #21","Belleville","ON","K8P 1B3","613-903-7043","http://www.oklahomaneoninc.com","success","23-01-2021"
"AB104","hui_portaro@cox.net","Hui","Portaro","3 Mill Rd","Baker Brook","NB","E7A 1T3","506-827-7755","http://www.astorageinnofgloucester.com","success","23-01-2021"
"AB105","lsteinhaus@cox","Lea","Steinhaus","80 Maplewood Dr #34","Bradford","ON","L3Z 2S4","905-618-8258","http://www.jameschristopheresq.com","hold","13-09-2021"
"AB109","crissy@aol.com","Crissy","Pacholec","85 S State St","Barrie","ON","L4N 6T7","705-477-2307","http://www.cgisystemsinc.com","success","01-05-2020"
"AB172","dahlia_benett@aol.com","Dahlia","Benett","3986 Home Life","Alma","QC","G8B 1K7","418-344-9993","http://www.docoschoolemplfedcrdtun.com","success","12-10-2021"
"AB186","margurite.brake@yahoo.com","Margurite","Brake","258 S Ash Ave","Amherstburg","ON","N9V 1S8","519-476-5983","http://www.moyerdavidwesq.com","success","14-03-2021"
"AB191","carol@gmail.com","Carol","Normington","1 S Kresson St","Alma","QC","G8E 1G2","418-540-2207","http://www.westwoodspecialties.com","success","09-08-2021"
"AB194","speadcox.net","Sarina","Pead","7821 16th St Nw","Ajax","ON","L1S 1S7","905-696-6221","http://www.burgessmanninginc.com","hold","05-07-2021"
"AB257","avery.masso@hotmail.com","Avery","Masso","6 Central Ave #664","Amherst","NS","B4H 1N1","902-588-8947","http://www.farwesterntrophyawards.com","success","02-02-2021"
"AB265","lfrisinger@cox.net","Lasandra","Frisinger","1 Highway 71 S","Abbotsford","BC","L1S 2G5","604-210-7413","http://www.jmrmarketinggraphicscorp.com","hold","13-07-2021"
"AB287","lavina.michelet@michelet.org","Lavina","Michelet","2719 N Delaware St","Anjou","QC","H1M 1X5","514-842-3549","http://www.environmentaldataresources.com","success","17-01-2020"
"AB301","brice_rowe@aol.com","Brice","Rowe","5 New Circle Rd Ne","Belleville","ON","K8N 1R9","613-631-9322","http://www.marylandmatchcorp.com","success","16-11-2021"
